"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2015","Belgium","Intentional homicide","Per hundred thousand inhabitants","2.05",""
"2015","Belgium","Attempted intentional homicide","Per hundred thousand inhabitants","7.83",""
"2015","Belgium","Assault","Per hundred thousand inhabitants","614.32",""
"2015","Belgium","Kidnapping","Per hundred thousand inhabitants","10.42",""
"2015","Belgium","Sexual violence","Per hundred thousand inhabitants","60.00",""
"2015","Belgium","Rape","Per hundred thousand inhabitants","28.59",""
"2015","Belgium","Sexual assault","Per hundred thousand inhabitants","31.40",""
"2015","Belgium","Robbery","Per hundred thousand inhabitants","199.33",""
"2015","Belgium","Burglary","Per hundred thousand inhabitants","780.36",""
"2015","Belgium","Burglary of private residential premises","Per hundred thousand inhabitants","590.66",""
"2015","Belgium","Theft","Per hundred thousand inhabitants","1,660.42",""
"2015","Belgium","Theft of a motorized land vehicle","Per hundred thousand inhabitants","132.06",""
"2015","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","468.53",""
"2015","Bulgaria","Intentional homicide","Per hundred thousand inhabitants","1.75",""
"2015","Bulgaria","Attempted intentional homicide","Per hundred thousand inhabitants","0.46",""
"2015","Bulgaria","Assault","Per hundred thousand inhabitants","34.99",""
"2015","Bulgaria","Kidnapping","Per hundred thousand inhabitants","1.03",""
"2015","Bulgaria","Sexual violence","Per hundred thousand inhabitants","8.37",""
"2015","Bulgaria","Rape","Per hundred thousand inhabitants","1.65",""
"2015","Bulgaria","Sexual assault","Per hundred thousand inhabitants","6.72",""
"2015","Bulgaria","Robbery","Per hundred thousand inhabitants","27.02",""
"2015","Bulgaria","Burglary","Per hundred thousand inhabitants","167.10",""
"2015","Bulgaria","Burglary of private residential premises","Per hundred thousand inhabitants","61.55",""
"2015","Bulgaria","Theft","Per hundred thousand inhabitants","531.99",""
"2015","Bulgaria","Theft of a motorized land vehicle","Per hundred thousand inhabitants","55.86",""
"2015","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","55.68",""
"2015","Czechia","Intentional homicide","Per hundred thousand inhabitants","0.84",""
"2015","Czechia","Attempted intentional homicide","Per hundred thousand inhabitants","0.64",""
"2015","Czechia","Assault","Per hundred thousand inhabitants","49.62",""
"2015","Czechia","Kidnapping","Per hundred thousand inhabitants","0.11",""
"2015","Czechia","Sexual violence","Per hundred thousand inhabitants","13.49",""
"2015","Czechia","Rape","Per hundred thousand inhabitants","5.67",""
"2015","Czechia","Sexual assault","Per hundred thousand inhabitants","7.79",""
"2015","Czechia","Robbery","Per hundred thousand inhabitants","19.19",""
"2015","Czechia","Burglary","Per hundred thousand inhabitants","327.15",""
"2015","Czechia","Burglary of private residential premises","Per hundred thousand inhabitants","89.65",""
"2015","Czechia","Theft","Per hundred thousand inhabitants","810.06",""
