"","source","target","value","ind"
"1","Asesinatos consumados","Andaluc韆",0.86,0
"2","Asesinatos consumados","Arag髇",0.69,0
"3","Asesinatos consumados","Principado de Asturias",0.68,0
"4","Asesinatos consumados","Islas Baleares",0.71,0
"5","Asesinatos consumados","Islas Canarias",1.13,0
"6","Asesinatos consumados","Cantabria",0.34,0
"7","Asesinatos consumados","Castilla y Le髇",0.46,0
"8","Asesinatos consumados","Castilla-La Mancha",0.39,0
"9","Asesinatos consumados","Catalu馻",0.59,0
"10","Asesinatos consumados","Comunidad Valenciana",0.5,0
"11","Asesinatos consumados","Extremadura",0.37,0
"12","Asesinatos consumados","Galicia",0.3,0
"13","Asesinatos consumados","Comunidad de Madrid",0.55,0
"14","Asesinatos consumados","Regi髇 de Murcia",0.74,0
"15","Asesinatos consumados","Comunidad Foral de Navarra",1.7,0
"16","Asesinatos consumados","Pa韘 Vasco",0.27,0
"17","Asesinatos consumados","La Rioja",0.32,0
"18","Asesinatos consumados","Ceuta",1.17,0
"19","Asesinatos consumados","Melilla",0,0
"20","Asesinatos en grado tentativa","Andaluc韆",2.27,0
"21","Asesinatos en grado tentativa","Arag髇",0.61,0
"22","Asesinatos en grado tentativa","Principado de Asturias",1.07,0
"23","Asesinatos en grado tentativa","Islas Baleares",3.19,0
"24","Asesinatos en grado tentativa","Islas Canarias",1.93,0
"25","Asesinatos en grado tentativa","Cantabria",0.52,0
"26","Asesinatos en grado tentativa","Castilla y Le髇",0.95,0
"27","Asesinatos en grado tentativa","Castilla-La Mancha",1.43,0
"28","Asesinatos en grado tentativa","Catalu馻",2.21,0
"29","Asesinatos en grado tentativa","Comunidad Valenciana",1.87,0
"30","Asesinatos en grado tentativa","Extremadura",1.21,0
"31","Asesinatos en grado tentativa","Galicia",0.93,0
"32","Asesinatos en grado tentativa","Comunidad de Madrid",1.19,0
"33","Asesinatos en grado tentativa","Regi髇 de Murcia",1.69,0
"34","Asesinatos en grado tentativa","Comunidad Foral de Navarra",2.16,0
"35","Asesinatos en grado tentativa","Pa韘 Vasco",1.68,0
"36","Asesinatos en grado tentativa","La Rioja",0.63,0
"37","Asesinatos en grado tentativa","Ceuta",1.17,0
"38","Asesinatos en grado tentativa","Melilla",1.16,0
"39","Delitos de lesiones","Andaluc韆",34.79,0
"40","Delitos de lesiones","Arag髇",37.44,0
"41","Delitos de lesiones","Principado de Asturias",36.08,0
"42","Delitos de lesiones","Islas Baleares",70.95,0
"43","Delitos de lesiones","Islas Canarias",49.91,0
"44","Delitos de lesiones","Cantabria",47.4,0
"45","Delitos de lesiones","Castilla y Le髇",29.84,0
"46","Delitos de lesiones","Castilla-La Mancha",28.72,0
"47","Delitos de lesiones","Catalu馻",42.43,0
"48","Delitos de lesiones","Comunidad Valenciana",39.61,0
"49","Delitos de lesiones","Extremadura",32.44,0
"50","Delitos de lesiones","Galicia",34.87,0
"51","Delitos de lesiones","Comunidad de Madrid",32.94,0
"52","Delitos de lesiones","Regi髇 de Murcia",41.93,0
"53","Delitos de lesiones","Comunidad Foral de Navarra",58.37,0
"54","Delitos de lesiones","Pa韘 Vasco",47.79,0
"55","Delitos de lesiones","La Rioja",45.3,0
"56","Delitos de lesiones","Ceuta",59.9,0
"57","Delitos de lesiones","Melilla",163.22,0
"58","Secuestro","Andaluc韆",0.31,0
"59","Secuestro","Arag髇",0,0
"60","Secuestro","Principado de Asturias",0.29,0
"61","Secuestro","Islas Baleares",0.09,0
"62","Secuestro","Islas Canarias",0.09,0
"63","Secuestro","Cantabria",0,0
"64","Secuestro","Castilla y Le髇",0.08,0
"65","Secuestro","Castilla-La Mancha",0.25,0
"66","Secuestro","Catalu馻",0.07,0
"67","Secuestro","Comunidad Valenciana",0.12,0
"68","Secuestro","Extremadura",0,0
"69","Secuestro","Galicia",0.07,0
"70","Secuestro","Comunidad de Madrid",0.18,0
"71","Secuestro","Regi髇 de Murcia",0.2,0
"72","Secuestro","Comunidad Foral de Navarra",0.46,0
"73","Secuestro","Pa韘 Vasco",0.23,0
"74","Secuestro","La Rioja",0,0
"75","Secuestro","Ceuta",0,0
"76","Secuestro","Melilla",0,0
"77","Delitos contra la libertad e indemnidad
                    sexual","Andaluc韆",28,0
"78","Delitos contra la libertad e indemnidad
                    sexual","Arag髇",26.29,0
"79","Delitos contra la libertad e indemnidad
                    sexual","Principado de Asturias",20.13,0
"80","Delitos contra la libertad e indemnidad
                    sexual","Islas Baleares",51.73,0
"81","Delitos contra la libertad e indemnidad
                    sexual","Islas Canarias",35.3,0
"82","Delitos contra la libertad e indemnidad
                    sexual","Cantabria",17.58,0
"83","Delitos contra la libertad e indemnidad
                    sexual","Castilla y Le髇",18.39,0
"84","Delitos contra la libertad e indemnidad
                    sexual","Castilla-La Mancha",24.13,0
"85","Delitos contra la libertad e indemnidad
                    sexual","Catalu馻",34.18,0
"86","Delitos contra la libertad e indemnidad
                    sexual","Comunidad Valenciana",31.91,0
"87","Delitos contra la libertad e indemnidad
                    sexual","Extremadura",19.95,0
"88","Delitos contra la libertad e indemnidad
                    sexual","Galicia",19.99,0
"89","Delitos contra la libertad e indemnidad
                    sexual","Comunidad de Madrid",30.66,0
"90","Delitos contra la libertad e indemnidad
                    sexual","Regi髇 de Murcia",32.4,0
"91","Delitos contra la libertad e indemnidad
                    sexual","Comunidad Foral de Navarra",41.85,0
"92","Delitos contra la libertad e indemnidad
                    sexual","Pa韘 Vasco",29.97,0
"93","Delitos contra la libertad e indemnidad
                    sexual","La Rioja",19.64,0
"94","Delitos contra la libertad e indemnidad
                    sexual","Ceuta",58.72,0
"95","Delitos contra la libertad e indemnidad
                    sexual","Melilla",31.26,0
"96","Agresion sexual con penetraci髇","Andaluc韆",2.4,0
"97","Agresion sexual con penetraci髇","Arag髇",2.52,0
"98","Agresion sexual con penetraci髇","Principado de Asturias",1.65,0
"99","Agresion sexual con penetraci髇","Islas Baleares",6.47,0
"100","Agresion sexual con penetraci髇","Islas Canarias",4.14,0
"101","Agresion sexual con penetraci髇","Cantabria",1.38,0
"102","Agresion sexual con penetraci髇","Castilla y Le髇",2.16,0
"103","Agresion sexual con penetraci髇","Castilla-La Mancha",2.57,0
"104","Agresion sexual con penetraci髇","Catalu馻",6.16,0
"105","Agresion sexual con penetraci髇","Comunidad Valenciana",3.38,0
"106","Agresion sexual con penetraci髇","Extremadura",1.96,0
"107","Agresion sexual con penetraci髇","Galicia",2.07,0
"108","Agresion sexual con penetraci髇","Comunidad de Madrid",3.83,0
"109","Agresion sexual con penetraci髇","Regi髇 de Murcia",3.11,0
"110","Agresion sexual con penetraci髇","Comunidad Foral de Navarra",5.56,0
"111","Agresion sexual con penetraci髇","Pa韘 Vasco",5.05,0
"112","Agresion sexual con penetraci髇","La Rioja",2.22,0
"113","Agresion sexual con penetraci髇","Ceuta",5.87,0
"114","Agresion sexual con penetraci髇","Melilla",2.32,0
"115","Resto de delitos contra la libertad","Andaluc韆",25.61,0
"116","Resto de delitos contra la libertad","Arag髇",23.76,0
"117","Resto de delitos contra la libertad","Principado de Asturias",18.48,0
"118","Resto de delitos contra la libertad","Islas Baleares",45.26,0
"119","Resto de delitos contra la libertad","Islas Canarias",31.16,0
"120","Resto de delitos contra la libertad","Cantabria",16.2,0
"121","Resto de delitos contra la libertad","Castilla y Le髇",16.23,0
"122","Resto de delitos contra la libertad","Castilla-La Mancha",21.56,0
"123","Resto de delitos contra la libertad","Catalu馻",28.03,0
"124","Resto de delitos contra la libertad","Comunidad Valenciana",28.53,0
"125","Resto de delitos contra la libertad","Extremadura",17.99,0
"126","Resto de delitos contra la libertad","Galicia",17.91,0
